,Unstandardised Residuals,Standardised Residuals,Date,Loss,Estimated VaR 95%,Estimated VaR 99%,Estimated ES 95%,Estimated ES 99%,var_95_hist,var_99_hist
546,0.012218314420806564,1.3989233377628023,1/7/2015,0.012218314420806564,0.014266047885722258,0.018715146521561577,0.018157130958391415,0.025963751044478223,1.6333764738443461,2.1427714443228854
547,0.01882804957250972,2.0963527268531457,1/8/2015,0.01882804957250972,0.01466990398427679,0.01924495170086696,0.018671139331876446,0.026698756231945616,1.6333764738443461,2.1427714443228854
553,0.010511041240220287,1.1363038834490176,1/16/2015,0.010511041240220287,0.015288388533059626,0.01982107017999535,0.01939443878391042,0.027498012425156808,1.6527625441443898,2.1427714443228854
554,0.0004226366090067657,0.0452954734423078,1/20/2015,0.0004226366090067657,0.015421363418140937,0.019993469286917184,0.019563127149131533,0.02773718380900101,1.6527625441443898,2.1427714443228854
555,0.002540283476241356,0.2807873326888111,1/21/2015,0.002540283476241356,0.014952545546966269,0.01938565690001355,0.018968397398272652,0.026893958270951666,1.6527625441443898,2.1427714443228854
556,0.015378283984593288,1.7488366186725928,1/22/2015,0.015378283984593288,0.01453346269832979,0.018842324910766046,0.0184367601602674,0.02614018717506039,1.6527625441443898,2.1427714443228854
561,0.012547179161937372,1.306399510053193,1/29/2015,0.012547179161937372,0.015996877645405694,0.02058002701938233,0.02016949677197092,0.028550922505697466,1.6527625441443898,2.1427714443228854
563,0.010847169992322492,1.0714117727105166,2/2/2015,0.010847169992322492,0.016732872206474708,0.021693812503537538,0.021251549622959637,0.030096090693092804,1.6527625441443898,2.1427714443228854
564,0.017774495966395243,1.7479077085928392,2/3/2015,0.017774495966395243,0.01680696356557275,0.021789870372896224,0.02134564919983295,0.030229352946905166,1.6527625441443898,2.1427714443228854
565,0.0008542727829645713,0.07926250443875801,2/4/2015,0.0008542727829645713,0.017813089154364813,0.023094290774183974,0.022623476916037614,0.032038991280078505,1.665631328943928,2.1427714443228854
566,0.01160560392698784,1.1104217944795516,2/5/2015,0.01160560392698784,0.01740839164739719,0.022395234686947627,0.021973581920922355,0.031069182243626616,1.665631328943928,2.1427714443228854
569,0.007326173219825094,0.7339446249610563,2/10/2015,0.007326173219825094,0.016626191161026857,0.021388963469059025,0.0209862565657731,0.029673169909211636,1.665631328943928,2.1427714443228854
570,0.0008654401102656806,0.08792622212828254,2/11/2015,0.0008654401102656806,0.016394473981607902,0.021090868118311276,0.020693773691560606,0.02925961859314718,1.665631328943928,2.1427714443228854
571,0.006514623686134868,0.682495311311299,2/12/2015,0.006514623686134868,0.015898953630989972,0.020453400007010694,0.020068307695716287,0.028375251306920823,1.665631328943928,2.1427714443228854
572,0.0026177771592852395,0.27875136379728715,2/13/2015,0.0026177771592852395,0.015642081851374133,0.020122944218476622,0.01974407365923046,0.027916805960803943,1.665631328943928,2.1427714443228854
573,0.0013113788075207466,0.14367269320180712,2/17/2015,0.0013113788075207466,0.015203122996042028,0.019558240322666336,0.01919000188953906,0.02713338535825758,1.665631328943928,2.1427714443228854
576,0.007894881382592978,0.9480616515495502,2/20/2015,0.007894881382592978,0.013763202232983239,0.017843698619479972,0.017451275767381882,0.02475478074056891,1.6527625441443898,2.1427714443228854
578,0.00529305119094392,0.6573544689145938,2/24/2015,0.00529305119094392,0.013308126994368336,0.017253703263052506,0.01687425572876443,0.02393627298621964,1.6333764738443461,2.1427714443228854
580,0.0008851511458471961,0.11536522185291133,2/26/2015,0.0008851511458471961,0.012532243549676754,0.016440627155810295,0.015960547830781303,0.022808282585271993,1.6333764738443461,2.1427714443228854
582,0.007520371329921893,1.0307567949138583,3/2/2015,0.007520371329921893,0.011917066824569899,0.015633597581869794,0.015177084159130539,0.02168868061372546,1.6333764738443461,2.1427714443228854
585,0.002200227680909883,0.3099381888146787,3/5/2015,0.002200227680909883,0.01159521562942393,0.015211371866412542,0.014767187768738903,0.021102921728638514,1.6333764738443461,2.1427714443228854
587,0.0069717831294804355,0.921013149868851,3/9/2015,0.0069717831294804355,0.012364151962498909,0.016220113478282012,0.01574647332716434,0.0225023612707554,1.6333764738443461,2.1427714443228854
590,0.01427055607926242,1.7513522308236948,3/12/2015,0.01427055607926242,0.013309253363374475,0.017459960094303926,0.01695011544071088,0.024222415604000652,1.6333764738443461,2.1427714443228854
592,0.013049387310666738,1.518897276290369,3/16/2015,0.013049387310666738,0.014199471490118066,0.01840931242137576,0.017905837249293018,0.02553946366692613,1.6527625441443898,2.1427714443228854
594,0.012254010532688042,1.3929080650953862,3/18/2015,0.012254010532688042,0.01454006199798313,0.018850880762240178,0.01833532916430761,0.02615205681216913,1.6527625441443898,2.1427714443228854
